'created_at';'favorite_count';'id';'in_reply_to_status_id';'in_reply_to_user_id';'place_full_name';'retweet_count';'retweeted';'retweeted_id';'text';'truncated';'user_id'
'Sun Feb 01 17:19:42 +0000 2015';0;561936945442729985;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2899613012
'Sun Feb 01 17:19:43 +0000 2015';0;561936946847809536;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2228588031
'Sun Feb 01 17:19:43 +0000 2015';0;561936947493748737;'';'';'';0;'false';'';'RT @PulsoCiudadano_: “¿Quién decía que no se puede? Que un gobierno no puede cambiar cosas”;La revolución d Podemos http://t.co/yK3JG0dZ5L …';'false';223644496
'Sun Feb 01 17:19:43 +0000 2015';0;561936948118683648;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2347514130
'Sun Feb 01 17:19:43 +0000 2015';0;561936949133737985;'';'';'';0;'false';'';'RT @Pablo_Iglesias_: Gran intervención de @luisalegrezahon en #L6Nmarchapodemos, todo mi apoyo en su candidatura a la Secretaría General de…';'false';1413671461
'Sun Feb 01 17:19:43 +0000 2015';0;561936949314080771;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2500397701
'Sun Feb 01 17:19:44 +0000 2015';0;561936950782078978;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2348765192
'Sun Feb 01 17:19:44 +0000 2015';0;561936952241709056;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2834498188
'Sun Feb 01 17:19:44 +0000 2015';0;561936953462259715;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2278551109
'Sun Feb 01 17:19:44 +0000 2015';0;561936954573733890;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';265818552
